cluster,namespace,ingress,spinnaker_app,chart,repo_chart,ingress_class,spinnaker_url,observacao,status_migracao
staging-234557,leadgen,webpusher,webpusher,go-app-0.6.0.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/webpusher/executions,templatedPipeline,Pronto — só trocar ingressClassName nos values da app
staging-234557,multi,multichannel-api,multichannel-api,rails-0.5.1.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/multichannel-api/executions,templatedPipeline,Pronto — só trocar ingressClassName nos values da app
staging-234557,n8n,n8n-ingress,,,,sem-versão,,kubectl apply direto,kubectl apply direto
staging-234557,ops-central,monitor-history,monitor-history,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/monitor-history/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,oraculo-agent-staging,oraculo-agent,,,,sem-versão,,sem dados no deploy_types,
staging-234557,platform,schema-api-internal,,,,sem-versão,,sem moniker spinnaker,sem moniker — não gerenciado pelo Spinnaker
staging-234557,plg,chat-backend,,,,sem-versão,,manual (Lens/Freelens),Manual (Lens/Freelens) — kubectl apply direto
staging-234557,plg,preview-whatsfree,preview-whatsfree,rails-0.5.3.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/preview-whatsfree/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,plg,todo-list,,,,sem-versão,,manual (Lens/Freelens),Manual (Lens/Freelens) — kubectl apply direto
staging-234557,rd-sms,account-api,rd-sms,rails-0.5.1.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rd-sms/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,rd-sms,webhook-billing,rd-sms,rails-0.5.1.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rd-sms/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,rd-sms,webhook-pubsub,rd-sms,rails-0.5.1.tgz,https://github.com/ResultadosDigitais/helm,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rd-sms/executions,,Pronto — só trocar ingressClassName nos values da app
staging-234557,rdsm,rdsm-email,,,,sem-versão,,kubectl apply direto,kubectl apply direto
staging-234557,rdsm,rdsm-email-validator,rdsm,rdsm-${parameters.helm_version}.tgz,https://github.com/resultadosdigitais/rdstation,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rdsm/executions,,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,rdsm,rdsm-web-api,rdsm,rdsm-${parameters.helm_version}.tgz,https://github.com/resultadosdigitais/rdstation,nginx-hardcoded,https://spinnaker.rdops.systems/#/applications/rdsm/executions,,Manifesto Spinnaker — adicionar stage APISIX na pipeline
staging-234557,rdsm,rdsm-web-webhook,,,,sem-versão,,kubectl apply direto,kubectl apply direto
staging-234557,rdsm,rdsm-web-whitelist-mario,,,,sem-versão,,kubectl apply direto,kubectl apply direto
staging-234557,rdsm,rdsm-web-with-whitelist,,,,sem-versão,,kubectl apply direto,kubectl apply direto
staging-234557,rdsm,staging,,,,sem-versão,,kubectl apply direto,kubectl apply direto
staging-234557,rdsm,web,,,,sem-versão,,manual (Lens/Freelens),Manual (Lens/Freelens) — kubectl apply direto
staging-234557,rdsm,web-signup-user,,,,sem-versão,,manual (Lens/Freelens),Manual (Lens/Freelens) — kubectl apply direto
staging-234557,rdsm-automation-engine,automation-engine-api,,,,sem-versão,,sem dados no deploy_types,
